res_id,name,address,mobile_url,cuisines,review_count,rating
301-mongolia-champaign,301 Mongolia,"301 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/301-mongolia-champaign,"[Mongolian,mongolian]",29,3.5
aroma-cafe-champaign,Aroma Cafe,"118 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/aroma-cafe-champaign,"[Coffee & Tea,coffee,Cafes,cafes]",63,4
ambar-india-champaign,Ambar India,"605 S Wright St,Champaign, IL 61820",http://m.yelp.com/biz/ambar-india-champaign,"[Indian,indpak]",22,3.5
oishi-champaign,Oishi,"2501 N Prospect Ave,Champaign, IL 61822",http://m.yelp.com/biz/oishi-champaign,"[Japanese,japanese]",45,3
flat-top-grill-champaign-2,Flat Top Grill,"607 S 6th St,Champaign, IL 61820",http://m.yelp.com/biz/flat-top-grill-champaign-2,"[Asian Fusion,asianfusion]",70,3
zas-italian-cafe-champaign-2,Za's Italian Cafe,"2006 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/zas-italian-cafe-champaign-2,"[American (Traditional),tradamerican]",33,3.5
the-ribeye-champaign,The Ribeye,"1701 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/the-ribeye-champaign,"[Steakhouses,steak]",30,3.5
south-china-restaurant-champaign,South China Restaurant,"25 E Springfield Ave,Champaign, IL 61820",http://m.yelp.com/biz/south-china-restaurant-champaign,"[Chinese,chinese]",16,4
basil-thai-urbana-urbana,Basil Thai Urbana,"701 S Gregory St,Urbana, IL 61803",http://m.yelp.com/biz/basil-thai-urbana-urbana,"[Thai,thai]",59,3
amanos-pizza-champaign,Amano's Pizza,"1407 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/amanos-pizza-champaign,"[Pizza,pizza]",7,4.5
station-6-pizza-champaign,Station 6 Pizza,"1103 W Windsor,Champaign, IL 61821",http://m.yelp.com/biz/station-6-pizza-champaign,"[Pizza,pizza,Gluten-Free,gluten_free]",15,4
miga-champaign-2,Miga,"301 N. Neil St. Ste#104,Ste 104,Champaign, IL 61820",http://m.yelp.com/biz/miga-champaign-2,"[American (New),newamerican,Lounges,lounges]",15,4
kamakura-japanese-restaurant-champaign,Kamakura Japanese Restaurant,"715 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/kamakura-japanese-restaurant-champaign,"[Japanese,japanese]",49,3
zas-italian-cafe-champaign-3,Za's Italian Cafe,"1905 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/zas-italian-cafe-champaign-3,"[Italian,italian]",21,3.5
boomerangs-bar-and-grill-urbana,Boomerang's Bar & Grill,"1309 E Washington St,Urbana, IL 61802",http://m.yelp.com/biz/boomerangs-bar-and-grill-urbana,"[American (Traditional),tradamerican,Bars,bars]",7,4
nitaya-thai-champaign,Nitaya Thai,"134 W Church St,Champaign, IL 61820",http://m.yelp.com/biz/nitaya-thai-champaign,"[Thai,thai]",37,3
billy-barooz-bar-and-grill-champaign,Billy Barooz Bar & Grill,"2521 Village Green Pl,Champaign, IL 61822",http://m.yelp.com/biz/billy-barooz-bar-and-grill-champaign,"[Sports Bars,sportsbars,American (New),newamerican]",33,3.5
monicals-pizza-champaign,Monical's Pizza,"103 W Kirby Ave,Champaign, IL 61820",http://m.yelp.com/biz/monicals-pizza-champaign,"[Pizza,pizza,Italian,italian]",16,3.5
the-clark-bar-champaign,The Clark Bar,"207 W Clark St,Champaign, IL 61820",http://m.yelp.com/biz/the-clark-bar-champaign,"[Karaoke,karaoke,American (Traditional),tradamerican]",6,4
geovantis-champaign,Geovanti's,"401 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/geovantis-champaign,"[Italian,italian,Dive Bars,divebars]",31,3.5
manolos-pizza-and-empanadas-urbana,Manolo's Pizza & Empanadas,"1115 W Oregon St,Urbana, IL 61803",http://m.yelp.com/biz/manolos-pizza-and-empanadas-urbana,"[Pizza,pizza]",55,3.5
alexanders-steakhouse-champaign,Alexander's Steakhouse,"202 W Anthony Dr,Champaign, IL 61822",http://m.yelp.com/biz/alexanders-steakhouse-champaign,"[Steakhouses,steak]",28,3
houlihans-champaign,Houlihan's,"1900 S 1st St,Champaign, IL 61820",http://m.yelp.com/biz/houlihans-champaign,"[American (New),newamerican,Bars,bars]",45,3
buffalo-wild-wings-savoy,Buffalo Wild Wings,"1335 Savoy Plaza Drive,Savoy, IL 61874",http://m.yelp.com/biz/buffalo-wild-wings-savoy,"[American (Traditional),tradamerican,Sports Bars,sportsbars,Chicken Wings,chicken_wings]",26,3.5
star-karaoke-savoy,Star Karaoke,"1503 Lyndhurst Alley,Savoy, IL 61874",http://m.yelp.com/biz/star-karaoke-savoy,"[Karaoke,karaoke,Korean,korean]",12,3.5
jimmy-johns-urbana,Jimmy John's,"807 S Lincoln Ave,Urbana, IL 61801",http://m.yelp.com/biz/jimmy-johns-urbana,"[Sandwiches,sandwiches]",19,4
guidos-bar-and-grill-champaign,Guido's Bar & Grill,"2 E Main St,Champaign, IL 61820",http://m.yelp.com/biz/guidos-bar-and-grill-champaign,"[Bars,bars,American (Traditional),tradamerican]",48,2.5
big-j-j-fish-and-chicken-champaign,Big J J Fish & Chicken,"1114 N Market St,Champaign, IL 61820",http://m.yelp.com/biz/big-j-j-fish-and-chicken-champaign,"[Chicken Wings,chicken_wings,Fish & Chips,fishnchips,Fast Food,hotdogs]",8,4
atlanta-bread-company-champaign,Atlanta Bread Company,"1905 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/atlanta-bread-company-champaign,"[Sandwiches,sandwiches,Bakeries,bakeries]",27,3
o-charleys-champaign,O'Charley's,"730 W Town Center Blvd,Champaign, IL 61822",http://m.yelp.com/biz/o-charleys-champaign,"[American (Traditional),tradamerican,Breakfast & Brunch,breakfast_brunch]",19,3
minnecis-ristorante-champaign-3,Minneci's Ristorante,"2501 Village Green Pl,Champaign, IL 61822",http://m.yelp.com/biz/minnecis-ristorante-champaign-3,"[Italian,italian]",15,3.5
mia-zas-cafe-champaign,Mia Za's Cafe,"629 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/mia-zas-cafe-champaign,"[Pizza,pizza,Italian,italian,Cafes,cafes]",56,3.5
spoon-house-korean-kitchen-champaign,Spoon House Korean Kitchen,"616 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/spoon-house-korean-kitchen-champaign,"[Korean,korean]",39,3
old-chicago-champaign,Old Chicago,"1910 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/old-chicago-champaign,"[Pizza,pizza,American (Traditional),tradamerican,Salad,salad]",34,3
chipotle-champaign-2,Chipotle,"903 W Anthony Dr,Champaign, IL 61822",http://m.yelp.com/biz/chipotle-champaign-2,"[Mexican,mexican]",13,4
dp-dough-champaign,DP Dough,"33 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/dp-dough-champaign,"[Pizza,pizza]",20,3
jerusalem-middle-eastern-cuisine-champaign,Jerusalem Middle Eastern Cuisine,"601 S Wright St,Champaign, IL 61820",http://m.yelp.com/biz/jerusalem-middle-eastern-cuisine-champaign,"[Middle Eastern,mideastern]",27,3.5
chipotle-mexican-grill-champaign,Chipotle Mexican Grill,"528 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/chipotle-mexican-grill-champaign,"[Mexican,mexican]",39,3.5
longhorn-steakhouse-champaign,LongHorn Steakhouse,"2101 N Prospect Ave,Champaign, IL 61822",http://m.yelp.com/biz/longhorn-steakhouse-champaign,"[Steakhouses,steak,American (Traditional),tradamerican]",27,2.5
einstein-bros-bagels-champaign,Einstein Bros Bagels,"803 W Anthony Dr,Champaign, IL 61822",http://m.yelp.com/biz/einstein-bros-bagels-champaign,"[Breakfast & Brunch,breakfast_brunch,Bagels,bagels]",3,5
lets-take-a-seat-thai-cuisine-champaign-2,Let's Take a Seat: Thai Cuisine,"2506 Village Green Pl,Champaign, IL 61822",http://m.yelp.com/biz/lets-take-a-seat-thai-cuisine-champaign-2,"[Thai,thai]",18,3.5
cactus-grill-champaign,Cactus Grill,"1405 S Neil St,Ste C,Champaign, IL 61820",http://m.yelp.com/biz/cactus-grill-champaign,"[Tex-Mex,tex-mex,Mexican,mexican]",20,3.5
buca-di-beppo-italian-restaurant-champaign,Buca di Beppo Italian Restaurant,"2000 North Neil Street,Market Place Shopping Center,Champaign, IL 61820",http://m.yelp.com/biz/buca-di-beppo-italian-restaurant-champaign,"[Italian,italian]",12,3.5
evo-cafe-champaign,Evo Cafe,"711 S 6th St,Champaign, IL 61820",http://m.yelp.com/biz/evo-cafe-champaign,"[Szechuan,szechuan]",32,3
i-wok-savoy,I Wok,"113 Calvin St,Savoy, IL 61874",http://m.yelp.com/biz/i-wok-savoy,"[Chinese,chinese]",6,4.5
